Model,mean_pred_length,std_pred_length,median_pred_length,min_pred_length,max_pred_length,distinct-1,vocab_size-1,unique-1,entropy-1,distinct-2,vocab_size-2,unique-2,entropy-2,cond_entropy-2,distinct-3,vocab_size-3,unique-3,entropy-3,cond_entropy-3,total_length-nopunct,mean_pred_length-nopunct,std_pred_length-nopunct,median_pred_length-nopunct,min_pred_length-nopunct,max_pred_length-nopunct,distinct-1-nopunct,vocab_size-1-nopunct,unique-1-nopunct,entropy-1-nopunct,distinct-2-nopunct,vocab_size-2-nopunct,unique-2-nopunct,entropy-2-nopunct,cond_entropy-2-nopunct,distinct-3-nopunct,vocab_size-3-nopunct,unique-3-nopunct,entropy-3-nopunct,cond_entropy-3-nopunct,local_recall_1,rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL_precision,rougeL_recall,rougeL_fmeasure,rougeLsum_precision,rougeLsum_recall,rougeLsum_fmeasure,nist,bleu,meteor,bleurt,nubia_semantic_relation,nubia_contradiction,nubia_irrelevancy,nubia_logical_agreement,nubia_grammar_ref,nubia_grammar_hyp,nubia_nubia_score,bertscore_precision,bertscore_recall,bertscore_f1
PEGASUS,20.98978432573716,6.999677034153628,20.38095238095238,7.523809523809524,79.33333333333333,0.3425463855433926,1887.5238095238096,1276.047619047619,8.601210122290746,0.7728379525649588,4582.047619047619,3972.190476190476,11.365484204979262,2.5552491217060385,0.9235353907198508,5456.0,5147.714285714285,11.845789235608944,0.4876429614883341,6262.761904761905,19.526907089765583,6.724881132264911,19.142857142857142,6.380952380952381,76.52380952380952,0.3658141827450275,1878.809523809524,1274.2857142857142,8.75144093003169,0.7783968821838873,4287.285714285715,3735.238095238096,11.269947704406173,2.6227086166351183,0.9292845562435732,5073.476190476191,4800.142857142857,11.749144257640872,0.4921880403282146,0.1212446240788976,0.1388095652173913,0.1246586956521739,0.1274565217391304,0.0080169565217391,0.0072517391304347,0.0073978260869565,0.1081221739130434,0.0971743478260869,0.09924,0.1081221739130434,0.0971743478260869,0.09924,0.8933188012304988,0.296651304347826,0.030963542871972,-1.3158582608695653,0.1403043478260869,33.272444782608694,51.50149304347827,15.226060434782614,3.781929130434784,3.4546291304347823,0.0636773913043478,0.6933804347826087,0.6901065217391305,0.6915182608695652
mT5-base,17.109512004937592,7.01259996755996,16.095642933049948,4.792773645058449,107.96811902231669,0.1847690982852552,17506.192348565357,12018.340063761956,9.573651112114211,0.5285091574659474,51117.27523910733,42390.72263549415,13.62967313458596,3.6945302094456194,0.7375171894915901,68150.34325185973,61475.588735387886,14.781901984459685,1.1305446423334995,89857.31455897981,14.904547651139575,5.996319866665446,13.99309245483528,3.736450584484591,77.05100956429331,0.2111249247226349,17489.38788522848,12017.30074388948,10.085400990063468,0.5691617217259689,47812.11795961743,40543.411264612114,13.618664272618243,3.6864610194108858,0.7632527817833938,60156.888416578106,54960.72051009564,14.655380726152943,1.1038523248526346,0.2275171534155133,0.7065272186836519,0.6746263163481949,0.6770538535031844,0.4817578237791925,0.4638357537154986,0.4634258174097659,0.614090658174097,0.5908263163481954,0.5906789171974521,0.614090658174097,0.5908263163481954,0.5906789171974521,4.521318459324525,40.468709023354585,0.3983954366633137,0.162181199575371,3.965159617834396,13.289314373673044,30.19448022293,56.51597218683655,4.627075743099788,4.62858554140128,0.6664971549893844,0.9168816772823792,0.9111918895966032,0.9124068152866248
mT5-large,17.64650614522542,7.021941269016504,16.123804463336874,4.841657810839532,72.23273113708821,0.1829957821935256,17854.395324123274,12240.373007438897,9.591964346827456,0.534676838179914,53734.642933049945,44687.0340063762,13.719785546884262,3.781293486582767,0.7500987711879729,72354.04782146652,65607.06163655686,14.898084105833956,1.1595598763336925,93361.00212539852,15.387327227648814,6.075296737262585,14.016471838469712,3.7725823591923486,58.94367693942614,0.2089140280892349,17837.552603613178,12238.541976620616,10.09554545845064,0.5743401033599336,50222.75876726886,42671.18597236982,13.705129428170851,3.7634258914887897,0.7754294496406507,63970.07438894793,58750.00637619554,14.769747062821397,1.1291357654623144,0.2311249925617062,0.7036165392781316,0.6923761358811029,0.6860753503184714,0.4825859235668788,0.4782966878980893,0.4721849469214437,0.6133214437367308,0.6083025265392786,0.6001698301486201,0.6133214437367308,0.6083025265392786,0.6001698301486201,4.667070141529437,41.66132003184716,0.4089458188713979,0.1861330891719748,4.014592834394908,11.619350658174117,32.77984322717622,55.60038111464967,4.627073630573251,4.585717781316342,0.6822890976645435,0.9188608280254784,0.9172906687898088,0.916479447983015
mT5-small,17.176000070416777,6.999647427373477,16.097236981934113,4.887353878852285,72.21997874601487,0.1806766477910626,17178.60892667375,11685.06269925611,9.478522497310676,0.512996604823572,49741.913921360254,41017.81721572795,13.496119338840357,3.6631671026383175,0.7205984416874575,66768.5547290117,59856.26567481403,14.691616017137466,1.1874306149710647,90302.52603613178,14.965079686995002,6.008154573647779,14.015409139213602,3.7970244420828902,50.89373007438895,0.2063266257705478,17161.035069075453,11681.657810839532,9.9806782696416,0.5524603769703552,46548.80552603613,39273.18065887354,13.477474398586732,3.6607128623037575,0.7467618167164793,59039.92136025504,53681.60148777896,14.56865960486132,1.1720036114937409,0.2291318185961596,0.6848898726114646,0.6610949787685776,0.6596939915074312,0.4612984819532902,0.4475648513800427,0.4452208067940552,0.5976552972399152,0.5806642250530782,0.5773790233545646,0.5976552972399152,0.5806642250530782,0.5773790233545646,4.37776513797237,38.35338580679401,0.3834536544818933,0.1246496496815289,3.892374713375794,14.533789182590246,30.74742153927812,54.71878925690025,4.627088428874737,4.589431571125263,0.6494457537154986,0.9120014118895952,0.9055557855626326,0.9070367940552008
mT5-xl,17.79444737224978,7.0130117096134805,16.057917109458025,4.763018065887354,65.78427205100957,0.1820161177660616,17939.41232731137,12257.107332624868,9.548495987944872,0.5363258703939073,54815.90116896918,45570.858660998936,13.73654714236205,3.849408205254437,0.7567959511550545,74588.85759829968,67749.6609989373,14.947094477212648,1.1975271743571572,94873.17747077576,15.468067202683178,6.072287260949221,13.944208289054195,3.712008501594049,58.842720510095646,0.208298199179174,17922.51434643996,12256.858660998938,10.065361817737404,0.5782402732117293,51330.8862911796,43699.85122210415,13.729741172563417,3.823074483332922,0.7834253529406101,65888.44739638682,60636.76301806589,14.822369814949672,1.1573031468854142,0.2451350954352763,0.7099039490445863,0.7012365392781309,0.6935648726114644,0.4901938322717625,0.4876536093418264,0.4805120700636943,0.6182167197452231,0.6148346284501064,0.6060266242038215,0.6182167197452231,0.6148346284501064,0.6060266242038215,4.760172824232452,42.71301779193211,0.4134249119791783,0.2059244161358808,4.064181380042465,10.08960118895965,32.11074955414013,57.79964918259017,4.627088428874737,4.556618121019111,0.6987443312101921,0.9205421443736734,0.9198977388535026,0.9185662632696387
